Date,link,title,Gender-Loose,Gender-Tight,description
11/25/09,http://www.missedinhistory.com/podcasts/how-the-first-thanksgiving-worked/,How the First Thanksgiving Worked,M,N,"Nowadays, Thanksgiving has become an official holiday, complete with its own trappings of tradition and mythology. But how much of the conventional Thanksgiving story is true? Join Sarah and Katie as they take a closer look at the first Thanksgiving."
11/30/09,http://www.missedinhistory.com/podcasts/why-did-angkor-fall/,Why did Angkor fall?,N,N,"At its height, the city of Angkor was larger than Rhode Island. Replete with ornate architecture, the metropolis also served as a religious center. Yet by the time Europeans discovered the site, it was ruined. What happened? Listen in and learn more."
12/2/09,http://www.missedinhistory.com/podcasts/how-did-meriwether-lewis-die/,How did Meriwether Lewis die?,M,M,"In 1809, Meriwether Lewis died of gunshot wounds -- but how did this happen? Historians still debate the circumstances involved. Join Katie and Sarah as they explore the facts -- and sensationalism -- surrounding the mysterious death of Meriwether Lewis."
12/7/09,http://www.missedinhistory.com/podcasts/harry-houdini-master-mystifier/,"Harry Houdini, Master Mystifier",M,M,"Once known as the world's greatest magician, Harry Houdini's reputation still resonates with modern fans of illusion and magic. Join Katie and Sarah as they explore the fact -- and fiction -- surrounding the spectacular Harry Houdini in this episode."
12/9/09,http://www.missedinhistory.com/podcasts/elizabeth-the-first-before-she-was-queen/,"Elizabeth The First, Before She Was Queen",F,F,"As the only child of Henry VIII and Anne Boleyn, Elizabeth I was born into a world of privilege and danger. Learn more about the tumultuous life of Elizabeth I before she became the Queen of England in this episode."
12/14/09,http://www.missedinhistory.com/podcasts/how-the-taiping-rebellion-worked/,How the Taiping Rebellion Worked,M,M,"In 1850, a disillusioned would-be bureaucrat named Hung Hsiu-ch'uan became the head of a rebellion against the Qing dynasty. Learn the story of this rebellion -- and how it influenced modern China -- in this episode."
12/16/09,http://www.missedinhistory.com/podcasts/rival-queens-mary-stuart-and-elizabeth-i/,Rival Queens:  Mary Stuart and Elizabeth I,F,F,"Although they were cousins, Elizabeth I and Mary Stuart had little in the way of familial affection. Join Katie and Sarah as they take a closer look at the infamous rivalry between Mary Stuart and Elizabeth I in this episode."
12/21/09,http://www.missedinhistory.com/podcasts/bungled-attempts-at-one-person-flights/,Bungled Attempts at One-Person Flights,M,M,"Nowadays almost every urban center has an airport, and the idea of flying across an ocean seems normal. Yet this wasn't always the case. Join Katie and Sarah as they explore the fascinating stories of the people who tried -- and failed -- to fly."
12/23/09,http://www.missedinhistory.com/podcasts/what-was-saturnalia/,What was Saturnalia?,N,N,"Winter solstice celebrations predate Christmas, and trace back into antiquity. Saturnalia was one of these ancient traditions, and it was very different from the celebration we recognize as Christmas today. Tune in and learn more in this episode."
12/28/09,http://www.missedinhistory.com/podcasts/the-virgin-queens-great-love/,The Virgin Queenâ€™s Great Love,B,B,"Elizabeth I never married. Instead, she encouraged (and avoided) many suitors without making a commitment. Additionally, many people believed Elizabeth was in love with a man named Robert Dudley. Learn more about Elizabeth's great love in this episode."
12/30/09,http://www.missedinhistory.com/podcasts/the-real-citizen-kane/,The Real Citizen Kane,M,M,Critics around the world agree that Citizen Kane is one of history's best films -- but who was the basis of this story? Listen in as Sarah and Katie take a look back on the life of William Randolph Hearst in this episode.
1/4/10,http://www.missedinhistory.com/podcasts/the-death-of-lord-darnley/,The Death of Lord Darnley,M,M,"In February of 1567, Lord Darnley lay sleeping in a house called Kirk o'Field when it exploded. He was certainly dead, but when his body was discovered it seemed that he died of strangulation ... and here the mystery began. Learn more in this episode."
1/6/10,http://www.missedinhistory.com/podcasts/how-the-hearst-castle-works/,How the Hearst Castle Works,B,B,"When newspaper tycoon William Randolph Hearst grew weary of camping, he asked Julia Morgan to build a 'small bungalow' in San Simeon, California. More than 20 years later, the gigantic Hearst Castle remains one of the most opulent homes in North America."
1/11/10,http://www.missedinhistory.com/podcasts/the-kidnapping-of-patty-hearst/,The Kidnapping of Patty Hearst,F,F,"In 1974, publishing heiress Patty Hearst was kidnapped by the Symbionese Liberation Army. Originally a hostage, Hearst eventually became a member of the SLA, participating in at least two robberies. Tune in to learn more about Patty Hearst."
1/13/10,http://www.missedinhistory.com/podcasts/wallis-simpson-and-the-abdication-crisis/,Wallis Simpson and the Abdication Crisis,B,B,"In 1936, Britain's King Edward VIII renounced his throne in order to marry an American socialite named Wallis Simpson. Join Katie and Sarah as the explore the astonishing story behind Britain's only royal resignation."
1/19/10,http://www.missedinhistory.com/podcasts/who-would-have-been-the-nazi-king/,Who would have been the Nazi king?,M,M,"Although Edward VIII is often remembered as a British King who abdicated the throne for love, FBI files suggest that there may have been a more sinister motive. Tune in and learn more about Edward VIII's possible Nazi connections in this podcast."
1/20/10,http://www.missedinhistory.com/podcasts/king-porus-vs-alexander-the-great/,King Porus vs Alexander the Great,M,M,"As Alexander the Great pushed across the globe on his quest for world domination, he met with an unexpected obstacle: King Porus of the Punjab region. Listen in as Katie and Sarah explore the historical Battle of the Hydaspes in this episode."
1/25/10,http://www.missedinhistory.com/podcasts/into-the-ghastly-blank-with-burke-and-wills/,Into the Ghastly Blank with Burke and Wills,M,M,"When John O'Hara Burke and William John Wills attempted to traverse Australia, the inland area of the continent was terra incognita known as the ""ghastly blank."" Learn what the expedition discovered in this episode."
1/27/10,http://www.missedinhistory.com/podcasts/toussaint-louverture-and-the-haitian-revolution/,Toussaint Lâ€™Ouverture and the Haitian Revolution,M,M,"When the Haitian revolution broke out, Toussaint L'Ouverture did not originally take part in the violence -- at least, that is, until the British became involved. Learn more about Toussaint L'Ouverture and the Haitian revolution in this podcast."
2/1/10,http://www.missedinhistory.com/podcasts/historys-greatest-battle-horses/,Historyâ€™s Greatest Battle Horses,M,M,"Although prehistoric societies hunted horses for food, they quickly realized the animals were more useful as a means of transportation. Tune in as Katie and Sarah explore one of the most specialized types of horses -- battle steeds -- throughout history."
2/3/10,http://www.missedinhistory.com/podcasts/who-was-black-moses/,"Who was ""Black Moses""?",M,M,"Tune in to this episode of Stuff You Missed in History Class to learn more about the life and philosophy of Marcus Garvey, a black nationalist leader known as ""Black Moses."""
2/8/10,http://www.missedinhistory.com/podcasts/who-was-the-real-bluebeard/,Gilles de Rais: Who was the real Bluebeard?,M,M,"""Bluebeard"" is one of Charles Perrault's most disturbing and grisly stories -- but could it be true? Join Sarah and Katie as they explore the depraved life and crimes of Gilles de Rais, the real-life basis for Perrault's Bluebeard."
2/10/10,http://www.missedinhistory.com/podcasts/is-the-taj-mahal-a-symbol-of-love/,Is the Taj Mahal a symbol of love?,M,M,"The Taj Mahal was built by the Mogul ruler Shah Jahan as a memorial to his favorite wife, Mumtaz Mahal. In this episode, Sarah and Katie delve into the stories of one of the world's most opulent mausoleums."
2/16/10,http://www.missedinhistory.com/podcasts/what-was-the-champagne-safari/,What was the Champagne Safari?,M,M,"On July 6th, 1934, Charles Bedaux set off on an expedition from Edmonton to British Columbia. This was no ordinary trek -- the travelers moved in style, bringing along every imaginable luxury. Tune in and learn what happened next in this episode."
2/17/10,http://www.missedinhistory.com/podcasts/was-satchel-paige-the-greatest-pitcher-in-history/,Was Satchel Paige the greatest pitcher in history?,M,M,"Born in Alabama in 1906, Satchel Paige rose through the ranks to become one of the most popular baseball players in the Negro Leagues. Tune in as Sarah and Katie explore the career of one of baseball's greatest pitchers."
2/22/10,http://www.missedinhistory.com/podcasts/zenobia-warrior-queen/,"Zenobia, Warrior Queen",F,F,"Some authors have described Zenobia, a queen of Palmyra, as a second Cleopatra. Listen in as Sarah and Katie explore the history of Palmyra and Zenobia in this episode."
2/24/10,http://www.missedinhistory.com/podcasts/mary-seacole-and-the-crimean-war/,Mary Seacole and the Crimean War,F,F,"When Mary Seacole was born, racism was rife and no formal nursing institutions existed. Tune in to learn how Mary Seacole overcame these obstacles and became one of the world's most recognizable nurses in this episode."
3/1/10,http://www.missedinhistory.com/podcasts/stokely-carmichael-and-black-power/,Stokely Carmichael and Black Power,M,M,"Born in 1941 in Trinidad, Stokely Carmichael moved to the US at the age of 11. Once he arrived he set upon a path that permanently changed American society. Listen in and learn how he became the leader of the Black Power movement in this episode."
3/3/10,http://www.missedinhistory.com/podcasts/who-were-garibaldis-1000/,Who were Garibaldiâ€™s 1000?,M,M,"Giuseppe Garibaldi led the ultimate underdogs in an expedition to overthrow the Bourbon family ruling Sicily in 1860. Tune in and learn how this ragged band of roughly 1,000 people forced the royal army of 20,000 men to surrender in this podcast."
3/8/10,http://www.missedinhistory.com/podcasts/josephine-baker-the-toast-of-paris/,"Josephine Baker, The Toast of Paris",F,F,"With a career spanning five decades, Josephine Baker was a star of stage and screen. However, she was also a spy for the French resistance during World War II. Tune in and learn more about Josephine Baker in this podcast."
3/10/10,http://www.missedinhistory.com/podcasts/what-happened-to-the-romanovs/,What happened to the Romanovs?,B,B,"The House of Romanov ruled Russia from 1613 until 1917, when Nicholas II abdicated the throne. But what actually happened to the royal family? Tune in as Katie and Sarah get to the bottom of the mysterious demise of the Romanovs in this episode."
3/15/10,http://www.missedinhistory.com/podcasts/who-stole-the-amber-room/,Who stole the Amber Room?,N,N,"Often hailed as ""the eighth wonder of the world,"" the Amber Room is an opulent room adorned with gold and precious amber. History buffs would love to see the room for themselves, but there's one problem: it's missing. Learn more in this episode."
3/17/10,http://www.missedinhistory.com/podcasts/brian-boru-high-king-of-ireland/,"Brian Boru, High King of Ireland",M,M,"As High King of Ireland, Brian Boru fought against -- and ultimately ended -- the rule of Niall Noigiallach's descendents. Tune in as Katie and Sarah take a closer look at the life of Brian Boru in this podcast."
3/22/10,http://www.missedinhistory.com/podcasts/how-the-book-of-kells-works/,How the Book of Kells Works,M,N,"Created around 800 AD, the Book of Kells is an illuminated manuscript held at Trinity College in Ireland. Listen in to learn more about the Book of Kells -- and how it survived for so long -- in this podcast."
3/24/10,http://www.missedinhistory.com/podcasts/nellie-bly-stunt-journalism/,Nellie Bly & Stunt Journalism,F,F,"Born in 1864, Nellie Bly wasn't your average journalist -- in fact, she feigned insanity to gain entry into a mental institution. Join Sarah and Katie as they take a closer look at the life of Nellie Bly, America's original stunt journalist."
3/29/10,http://www.missedinhistory.com/podcasts/bar-kokhba-vs-the-romans/,Bar Kokhba vs. The Romans,M,M,"Born Simon ben Kosiba, Simon bar Kokhba led the Bar Kokhba revolt against the Roman empire. The revolt succeeded momentarily, and the Romans were expelled from Judea -- but the conflict was far from over. Tune in and learn what happened next."
3/31/10,http://www.missedinhistory.com/podcasts/death-at-the-duomo-the-pazzi-conspiracy/,Death at the Duomo: The Pazzi Conspiracy,M,M,"When the Pazzi family became entangled in a plot to assassinate Lorenzo and Giuliano de'Medici, the conspiracy grew until it reached the steps of the Vatican itself. Learn more about this coup attempt -- and its ultimate result -- in this episode."
4/5/10,http://www.missedinhistory.com/podcasts/savonarola-the-unarmed-prophet/,"Savonarola, the Unarmed Prophet",M,M,"Girolamo Savonarola wasn't the typical Dominican friar. He began protesting moral corruption in the clergy at a young age. Eventually he came to Florence, the dominion of the powerful and decadent Medici clan. Tune in and learn what happened next."
4/7/10,http://www.missedinhistory.com/podcasts/a-brief-history-of-vaudeville/,A Brief History of Vaudeville,M,N,Vaudeville flourished from the late 19th century into the Depression era. It was one of America's most famous forms of entertainment at the time. Tune in as Katie and Sarah take a look at this family-friendly variety show from America's bygone days.
4/12/10,http://www.missedinhistory.com/podcasts/how-michelangelo-worked/,How Michelangelo Worked,M,M,"As a painter and a sculptor, Michelangelo became famous within his own lifetime. But who exactly was this artist, and what compelled him to create his masterpieces? Listen in as Katie and Sarah explore the life of Michelangelo in this podcast."
4/14/10,http://www.missedinhistory.com/podcasts/who-was-emanuel-swedenborg/,Who was Emanuel Swedenborg?,M,M,"When the philosopher Emanuel Swedenborg sought mechanical explanations for nature, he found himself struggling with his faith as he searched for evidence of the human soul. But what happened next? Tune in and learn more in this podcast."
4/19/10,http://www.missedinhistory.com/podcasts/the-second-act-notable-vaudevillians/,The Second Act: Notable Vaudevillians,M,M,"In a follow-up to the earlier episode on the history of vaudeville, Katie and Sarah take a closer look at some of the most memorable vaudevillians. Listen in and learn more about everyone from the Marx brothers to Winsor McCay in this episode."
4/21/10,http://www.missedinhistory.com/podcasts/catherine-de-medici-italian-orphan/,"Catherine deâ€™ Medici, Italian Orphan",F,F,"Catherine de' Medici remains the most famous female member of the Medici clan. Orphaned at a young age, Catherine survived struggles with childhood illness and eventually became the Queen consort of France. Tune in and learn what happened next."
4/26/10,http://www.missedinhistory.com/podcasts/is-there-a-money-pit-on-oak-island/,Is there a money pit on Oak Island?,M,M,"In 1795, a farm boy named Daniel McGinnis found a strange depression in the ground on an island in Nova Scotia's Mahone Bay. As he and his friends began to dig, they realized they'd stumbled on much more than an ordinary hole. Tune in and learn more."
4/28/10,http://www.missedinhistory.com/podcasts/catherine-de-medici-and-the-scarlet-nuptials/,Catherine deâ€™ Medici and the Scarlet Nuptials,F,F,"In this episode of the continuing Medici super series, Katie and Sarah follow up on the further adventures of Catherine de'Medici. Listen in and learn how the St. Bartholomew Day's massacre contributed to Catherine's notorious reputation in this podcast."
5/3/10,http://www.missedinhistory.com/podcasts/how-charlie-chaplin-worked/,How Charlie Chaplin Worked,M,M,"Charlie Chaplin is perhaps best known for his portrayal of 'The Tramp,' a character with raggedy clothes and a heart of gold. But who was the real Charlie Chaplin? Learn more about one of the most influential actors of silent film in this podcast."
5/5/10,http://www.missedinhistory.com/podcasts/what-is-the-highest-value-art-heist-in-history/,What is the highest-value art heist in history?,N,N,"From cat burglars to immoral, obsessed collectors, we've all heard stories of notorious art thieves. But in terms of loot, which of history's outrageous art heists was the most successful? Listen in and learn more in this podcast."
5/10/10,http://www.missedinhistory.com/podcasts/the-47-ronin-and-the-samurais-code/,The 47 Ronin and the Samuraiâ€™s Code,M,M,"Historically, the samurai were Japanese warriors famous for their loyalty to their feudal lords and adherence to a strict code of honor. Tune in to learn more about the samurai and the legendary tale of the 47 Ronin."
5/12/10,http://www.missedinhistory.com/podcasts/a-grim-tale-the-brothers-grimm/,A Grim Tale: The Brothers Grimm,M,M,"Fairy tales weren't always safe fodder for the latest Disney film. In fact, some were downright macabre. Learn more about the original versions of fairy tales -- and the eccentric brothers responsible for popularizing them -- in this podcast."
5/17/10,http://www.missedinhistory.com/podcasts/simon-bolivar-the-liberator/,"Simon Bolivar, the Liberator",M,M,"Born in 1783, Simon Bolivar grew to become known as the George Washington of South America. But how did this happen? Listen in and learn how Simon Bolivar left a life of luxury to pursue liberation from Spain in this podcast."
5/19/10,http://www.missedinhistory.com/podcasts/the-shipwreck-that-saved-jamestown/,The Shipwreck that Saved Jamestown,M,N,"When a relief mission left Plymouth in 1609 to assist the troubled colony of Jamestown, an intense storm separated one vessel from the rest of the fleet. Learn how this shipwreck may have saved Jamestown -- and inspired Shakespeare -- in this podcast."
5/24/10,http://www.missedinhistory.com/podcasts/nefertiti-and-the-heretic-pharaoh/,Nefertiti and the Heretic Pharaoh,F,F,"Today historians know very little about Nefertiti, but during her time as Egypt's queen she was revered as a goddess. In this episode, Sarah and Katie explore the reign of Nefertiti, and why her controversial husband Akhenaton was considered a heretic."
5/26/10,http://www.missedinhistory.com/podcasts/caligula-disentangled/,Caligula Disentangled,M,M,"According to most popular accounts, Caligula was an insane, cruel and bizarre emperor. But how reliable are those stories? Join Katie and Sarah as they take a look at Caligula's life -- and try to separate the facts from the rumors -- in this podcast."
5/31/10,http://www.missedinhistory.com/podcasts/who-was-the-emperor-of-the-united-states/,The Emperor Norton Episode: Who was the Emperor of the United States?,M,M,"When Joshua Norton returned to San Francisco following a disastrous business deal, he was a little bit loopy. Norton went to the newspapers and declared himself emperor of the United States. Here's the crazy part: it worked. Tune in and learn more."
6/2/10,http://www.missedinhistory.com/podcasts/how-the-pony-express-worked/,How the Pony Express Worked,M,M,The Pony Express used a system of riders and horses to safely deliver mail between Missouri and Sacramento -- a distance of over 1900 miles. But how did it work? Join Katie and Sarah as they trace the rise and fall of the Pony Express in this podcast.
6/7/10,http://www.missedinhistory.com/podcasts/lillie-langtry-the-jersey-lily/,"Lillie Langtry, The Jersey Lily",F,F,"In her time, Lillie Langtry was known as the most beautiful woman in the world. But how did she get her start? Listen in and learn how The Jersey Lily became an international celebrity in this podcast."
6/9/10,http://www.missedinhistory.com/podcasts/the-bombardment-of-baltimore-2/,The Bombardment of Baltimore,M,M,"Years after the American Revolution, Britain and the United States were still locked in conflict. Listen in as Katie and Sarah explore the British bombardment of Baltimore in 1814 -- and how it inspired a lawyer named Francis Scott Key -- in this podcast."
6/14/10,http://www.missedinhistory.com/podcasts/how-tecumseh-worked/,How Tecumseh Worked,M,M,"Born in 1768, Tecumseh was a leader of the Shawnee tribe who united several Native American tribes in opposition against the expansionist U.S. forces. But who was this legendary leader? Tune in and learn more about the real Tecumseh in this podcast."
6/16/10,http://www.missedinhistory.com/podcasts/mutiny-on-the-bounty/,Mutiny on the Bounty,M,M,"The mutiny aboard the HMS Bounty has been popularized in film, but how accurate is this depiction? In this podcast, Sarah and Katie take a closer look at this legendary mutiny -- and figure out whether William Bligh deserves his terrible reputation."
6/21/10,http://www.missedinhistory.com/podcasts/a-holocaust-story-hannah-szenes/,A Holocaust Story: Hannah Szenes,F,F,"Amid the anti-Semitic and hostile environment of Hungary, the poet Hannah Szenes joined with resistance forces, risking her life to save Jewish communities. Tune in and learn why Hannah Szenes is known as the ""Joan of Arc of Israel"" in this podcast."
6/23/10,http://www.missedinhistory.com/podcasts/how-oscar-wilde-worked/,How Oscar Wilde Worked,M,M,"The larger-than-life poet and novelist Oscar Wilde remains one of Ireland's most well-known authors, but his life wasn't all accolades and praise. Join Katie and Sarah as they explore the struggles and triumphs of Oscar Wilde in this podcast."
6/28/10,http://www.missedinhistory.com/podcasts/a-conspiracy-starring-aaron-burr/,A Conspiracy Starring Aaron Burr,M,M,"After Aaron Burr slew Alexander Hamilton in the duel of 1804, his legislative career was over. In March of 1805,  Burr left the political sphere and moved west -- but his story doesn't end there. Tune in more about Burr's later adventures in this podcast."
6/30/10,http://www.missedinhistory.com/podcasts/mata-hari-sinister-salome/,"Mata Hari, Sinister Salome?",F,F,"Mata Hari was an exotic dancer and a courtesan, but today she's known more for her work as a spy. In this podcast, Katie and Sarah take a look at the extraordinary life of Mata Hari -- and whether the French intelligence community used her as a scapegoat."
7/5/10,http://www.missedinhistory.com/podcasts/what-really-happened-on-bloody-sunday/,What really happened on Bloody Sunday?,M,M,In 1972 the tension between the United Kingdom and the Irish Republican Army rose to a fever pitch as the British Army and Irish protestors clashed. Learn more about the contentious partition of Ireland -- and Bloody Sunday -- in this podcast.
7/7/10,http://www.missedinhistory.com/podcasts/kamehameha-the-great/,Kamehameha The Great,M,M,"Born shortly after the appearance of Halley's comet over Hawai'i in 1758, Kamehameha was hailed as the king who would unite the Hawai'ian islands. But how did he turn this prophecy into reality, and what happened to him in the end? Tune in and learn more."
7/12/10,http://www.missedinhistory.com/podcasts/who-was-the-last-queen-of-hawaii/,Liliâ€™uokalani: Who was the Last Queen of Hawaii?,F,F,"Born in 1838, Lili'uokalani became the queen of Hawaii in 1891. Unfortunately, she was destined to be Hawaii's last monarch. Listen in and learn how Hawaii became a state in this podcast."
7/14/10,http://www.missedinhistory.com/podcasts/mad-king-ludwig-dines-alone/,Mad King Ludwig Dines Alone,M,M,"From his opulent, solitary dinners to the amazing Neuschwanstein Castle, it's no surprise that King Ludwig II was known as an eccentric. In fact, people thought he was mad. But why? Tune in and learn more about Mad King Ludwig in this podcast."
7/19/10,http://www.missedinhistory.com/podcasts/burke-and-hare-who-didnt-steal-corpses/,"Burke and Hare, Who Didnâ€™t Steal Corpses",M,M,"From 1827 to 1828, Burke and Hare were accused of killing fifteen people and selling their bodies to medical students. But were they really resurrectionists? Tune in to learn the truth about Burke and Hare in this podcast."
7/21/10,http://www.missedinhistory.com/podcasts/why-did-henry-ford-build-a-city-in-the-amazon/,Why did Henry Ford build a city in the Amazon?,M,M,"Anxious to control his own rubber company, Henry Ford built a utopian community in the midst of the Amazon. In this episode, Katie and Sarah explore the construction of Fordlandia, the life of its inhabitants and what eventually went wrong."
7/26/10,http://www.missedinhistory.com/podcasts/who-was-the-infant-ruler-of-russia/,Ivan IV: Who was the infant ruler of Russia?,M,M,"Ivan IV was still an infant when he was proclaimed the Emperor of Russia. In this episode, Katie and Sarah explain how this strange ascension occurred -- and how Anna Leopoldovna became the power behind the throne."
7/28/10,http://www.missedinhistory.com/podcasts/did-any-germans-resist-hitler/,Did any Germans resist Hitler?,M,M,"During World War II, the Nazi totalitarian party did not tolerate dissent. Despite the risks involved, some Germans did attempt to resist Hitler's government. In this episode, Katie and Sarah explore the story of the White Rose, a secret resistance group."
8/2/10,http://www.missedinhistory.com/podcasts/a-crusade-gone-wrong/,A Crusade Gone Wrong,M,M,"Of all the Crusades, the Fourth Crusade was the least successful: It created a permanent divide between Orthodox and Roman Catholic churches. But what exactly went wrong? Tune in and learn more in this podcast."
8/4/10,http://www.missedinhistory.com/podcasts/medici-murders-and-a-basket-baby/,Medici Murders and a Basket Baby,M,N,"Centuries after the fall of their line, the Medici remain one of history's most powerful -- and notorious -- families. In this episode, Sarah and Katie trace the unfortunate and mysterious deaths of Medici family members."
8/9/10,http://www.missedinhistory.com/podcasts/catherine-the-greats-rise-to-power/,Catherine the Greatâ€™s Rise to Power,F,F,"Catherine the Great remains one of the most influential female figures in European history, but how did she get her start? In the first segment of this two-part series, Sarah and Katie explore Catherine the Great's rise to power."
8/11/10,http://www.missedinhistory.com/podcasts/catherine-the-great-in-power/,Catherine the Great in Power,F,F,"Katie and Sarah highlight some of the details of Catherine the Great's reign, from wars and rebellions to her Enlightenment ideals and desire to further Westernize Russia, in their continuing series on the influential female ruler."
8/16/10,http://www.missedinhistory.com/podcasts/five-stars-of-the-wild-west/,Five Stars of the Wild West,M,N,"It didn't take long for America to romanticize cowboys. Even after most cowboys gave up their spurs, Wild West shows captivated audiences across the country. Tune in and learn more about the stars of Wild West shows, from Buffalo Bill to Annie Oakley."
8/18/10,http://www.missedinhistory.com/podcasts/the-battles-of-the-pyramids-and-nile/,The Battles of the Pyramids and Nile,M,M,"In 1798 Napoleon decided to launch an expedition to Egypt instead of leading a direct attack on England -- but why? In this episode, Katie and Sarah explore the Battle of the Pyramids (Napoleon himself came up with the title). Tune in and learn more."
8/23/10,http://www.missedinhistory.com/podcasts/the-lovers-of-catherine-the-great/,The Lovers of Catherine the Great,M,M,"It gets lonely at the top, and even larger-than-life monarchs like Catherine the Great needed a bit of romance now and then. Tune in and learn more about Catherine's lovers -- and if she ever found the true love she was looking for -- in this podcast."
8/25/10,http://www.missedinhistory.com/podcasts/why-is-richard-i-called-the-lionheart/,Why is Richard I called the Lionheart?,F,F,"Today, Richard I -- better known as Richard the Lionheart -- is an iconic, legendary figure in European history. But how did he become ""the Lionheart"" in the first place? Tune in and learn more about Richard I in this podcast."
8/30/10,http://www.missedinhistory.com/podcasts/the-trung-sisters-vs-china/,The Trung Sisters vs China,F,F,"The Trung sisters were daughters of a Vietnamese lord in the first century, when Vietnam was occupied by the Han Dynasty. Listen in and learn how these remarkable leaders fought to free their kingdom and why they remain highly revered in Vietnam today."
9/1/10,http://www.missedinhistory.com/podcasts/napoleon-in-egypt-the-savants/,Napoleon in Egypt: The Savants,M,M,"When Napoleon planned a secret mission to Egypt, he authorized three men to create a Commission of Sciences and Arts. However, the commission's 151 members soon learned the mission wasn't what they'd expected. Tune in and learn more in this podcast."
9/6/10,http://www.missedinhistory.com/podcasts/was-there-a-female-pope/,Was there a female pope?,F,F,"During the Middle Ages, thousands of faithful Catholics believed in the story of a female pope named Joan. But is there any evidence for this story -- not to mention the other stories that grew from the original tale? Listen in and learn more."
9/8/10,http://www.missedinhistory.com/podcasts/who-was-the-greatest-traitor/,"Sir Roger Mortimer: Who was the ""Greatest Traitor?""",M,M,"Sir Roger Mortimer is known as the ""greatest traitor,"" but why? Sarah and Katie explore the life and times of Sir Mortimer in this episode, from his early conflicts, his successful rebellion against Edward II, and his ignominious end."
9/13/10,http://www.missedinhistory.com/podcasts/the-death-of-mozart/,The Death of Mozart,M,M,"Wolfgang Amadeus Mozart died in December of 1791, bringing his profound career to an untimely end. But how exactly did he die? Join Katie and Sarah as they examine the life of Mozart -- and the questions surrounding his death -- in this podcast."
9/15/10,http://www.missedinhistory.com/podcasts/who-was-king-tut-really/,Who was King Tutâ€_ really?,M,M,"When Egyptologists studied King Tutankhamen's DNA, they learned some surprising things: In addition to being disabled, the king was inbred. And this is just the beginning. Learn more about the real King Tut -- and where he came from -- in this podcast."
9/20/10,http://www.missedinhistory.com/podcasts/the-curse-of-the-koh-i-noor-diamond/,The Curse of the Koh-i-Noor Diamond,M,M,"The Koh-i-noor diamond has a long, storied history -- and a reputation for bringing trouble to its (male) owners. In this episode, Katie and Sarah trace the adventures of the infamous diamond, from its Indian origins to its final resting place in Britain."
9/22/10,http://www.missedinhistory.com/podcasts/the-race-to-the-south-pole/,The Race to the South Pole,M,M,"When Scott and Amundsen launched rival expeditions to the South Pole, they knew that only one group could be the first to reach the pole. Each believed his strategy would prevail, but which explorer won? Tune in and learn more in this podcast."
9/27/10,http://www.missedinhistory.com/podcasts/real-life-moby-dick-sinks-a-ship/,The Whaleship Essex: Real-life Moby Dick Sinks a Ship,M,M,"Although Herman Melville's opus is a work of fiction, it was inspired by real-life events. In this episode, Katie and Sarah explore the story of the real-life Moby Dick -- and the unfortunate vessel that encountered it in the Pacific."
9/29/10,http://www.missedinhistory.com/podcasts/5-sinners-in-dantes-inferno/,5 Sinners in Danteâ€™s Inferno,M,M,"When Dante wrote The Divine Comedy, he consigned several of his real-life enemies to hell. In this podcast, Katie and Sarah examine Dante's habit of putting his enemies in his fiction, focusing on five people the average Florentine would have known."
10/4/10,http://www.missedinhistory.com/podcasts/lizzie-borden-and-her-axe/,Lizzie Borden and Her Axe,F,F,"In 1892, Abby Borden was brutally murdered in her home in Fall River, Massachusetts. Shortly thereafter her husband Andrew Borden was also murdered, and his daughter Lizzie Borden was the primary suspect. But why was she acquitted? Tune in and learn more."
10/6/10,http://www.missedinhistory.com/podcasts/the-history-of-chocolate/,The History of Chocolate,N,N,"Nowadays chocolate is popular across the world, but it got its start thousands of years ago in Mesoamerica, where it was much more than a mere sweet or ingredient in desserts. Learn more about the history of chocolate in this podcast."
10/11/10,http://www.missedinhistory.com/podcasts/is-there-a-real-macbeth-curse/,Is there a real Macbeth curse?,M,M,"Some actors believe it's bad luck to say 'Macbeth' in the theater unless the play is being performed -- but why? In this episode, Katie and Sarah explore the origins of the Macbeth curse and the life of the historical Macbeth. (And, an important note: The error regarding ""Our American Cousin"" and Abraham Lincoln has already been corrected in the episode <a href=""http://www.missedinhistory.com/podcasts/he-was-killed-by-mesmerism/"">He Was Killed By Mesmerism.</a>)"
10/13/10,http://www.missedinhistory.com/podcasts/10-historical-animals-you-should-know-1-5/,10 Historical Animals You Should Know:  1 â€“ 5,N,N,"History is full of astonishing stories, and not all of them revolve around humans. In the first part of this two-part series, Katie and Sarah cover five of history's most memorable animals. Listen in to learn more about historical animals."
10/18/10,http://www.missedinhistory.com/podcasts/spring-heeled-jack-mystery-assailant/,"Spring-heeled Jack, Mystery Assailant!",M,M,"Most people are familiar with Jack the Ripper, but Victorian England was also plagued by an odd character named Spring-Heeled Jack. Were reports of this bounding scoundrel a symptom of mass hysteria, or something factual? Tune in to learn more."
10/20/10,http://www.missedinhistory.com/podcasts/the-battle-of-marathon/,The Battle of Marathon,M,M,"Nowadays marathons are a popular pastime for health buffs across the world, but how did they get started? The origins of the marathon date back to the fifth century B.C., when Greeks depended on messengers to carry news. Tune in to learn more."
